,age,gender,accent,pitch,intensity,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,zero_crossing_rate,chroma_stft,mfcc_1,mfcc_2,mfcc_3
0,Adults,male,North American,1263.4595947265625,0.0093589900061488,2644.264958655471,2748.468148041736,21.29536412404987,5367.1875,0.0682985931016597,0.4563571214675903,-588.1030883789062,106.3888931274414,19.169490814208984
1,Adults,male,British Isles,1633.5780029296875,0.0897040516138076,2447.306170294608,1725.8965330962114,21.387904048780705,4089.4451530612246,0.0903851775085034,0.4368024468421936,-331.307861328125,137.71067810058594,-16.55085563659668
2,Adults,male,North American,1800.5167236328125,0.033003456890583,2492.985509309813,2431.462897875468,22.590589847104777,4386.5220323741005,0.0800488515437649,0.4042762517929077,-410.3009338378906,138.95059204101562,-24.66299629211425
3,Adults,male,British Isles,1617.2698974609375,0.0271926913410425,2641.7135610870787,2602.93306799401,19.762250371081706,5196.644585253456,0.0705510152649769,0.5677465796470642,-450.1402282714844,117.5142059326172,-11.099579811096191
4,Adults,male,British Isles,1457.985107421875,0.014276634901762,2536.720216854769,2377.369497022117,20.1045474033535,4721.0260826771655,0.0745673392388451,0.5178390145301819,-514.8276977539062,144.01295471191406,-10.234945297241213
5,Adults,male,African,1509.684326171875,0.220248132944107,2958.741680068088,2952.4378238041345,21.608486204565352,5770.034632731959,0.0755879510309278,0.4769321084022522,-209.8394012451172,124.08367919921876,-6.959031105041504
6,Adults,female,North American,1621.3524169921875,0.0048192436806857,3186.4625894683127,2470.091815500444,21.93242696192328,5838.016055045871,0.1279102757071865,0.4113577306270599,-652.7442626953125,107.0914535522461,-15.419921875
7,Adults,male,British Isles,1869.58935546875,0.0153037961572408,3131.66731462986,2467.748454312001,19.6622424498488,5843.991312741313,0.1280239502895752,0.5630858540534973,-514.5635986328125,114.47555541992188,-6.854789733886719
8,Teens,female,North American,1739.99365234375,0.0073968837969005,2630.4149542831524,2027.0282844216904,18.44972226165708,4791.6456653225805,0.0813683950772849,0.4402137398719787,-631.0383911132812,111.97936248779295,-14.508278846740724
9,Adults,male,North American,1474.77490234375,0.0482519790530204,1317.137925151426,1065.113742424195,17.827398273377234,2126.6183035714284,0.0406633649553571,0.2417017221450805,-465.466796875,96.80960845947266,-10.612035751342772
10,Adults,male,British Isles,1210.5787353515625,0.0443271361291408,2520.50771802532,2969.532761243313,20.772377887859708,5066.934121621622,0.0561334911920849,0.5966610908508301,-359.8284912109375,139.06541442871094,5.200839042663574
11,Adults,female,Australian and New Zealand,1810.4395751953125,0.0895234420895576,2386.4545890950035,1985.7506905101063,20.83443816764577,3947.544642857143,0.077643060064935,0.3940511047840118,-396.2579040527344,83.8432846069336,4.1357831954956055
12,Adults,male,South Asian,1395.9754638671875,0.0361245609819889,1910.2352236463385,1700.015763832425,21.31071188171021,3351.642219387755,0.057559889190051,0.4527192115783691,-476.5856628417969,133.30911254882812,15.254573822021484
13,Adults,other,British Isles,1209.157470703125,0.0254334472119808,2403.0431052278373,2558.92383824482,20.51717594882476,4789.649906015037,0.0547707158521303,0.5289992094039917,-441.6759033203125,124.26321411132812,16.468135833740234
